drug,reaction,atom_idx,element,effect,baseline_score
acarbose,Lactic acidosis,0,C,-0.06225985288619995,0.7353078126907349
acarbose,Lactic acidosis,1,C,-0.0051043033599853516,0.7353078126907349
acarbose,Lactic acidosis,2,C,-0.004559338092803955,0.7353078126907349
acarbose,Lactic acidosis,3,C,-0.008261501789093018,0.7353078126907349
acarbose,Lactic acidosis,4,C,-0.00557941198348999,0.7353078126907349
acarbose,Lactic acidosis,5,C,-0.0032007694244384766,0.7353078126907349
acarbose,Lactic acidosis,6,O,-0.008279681205749512,0.7353078126907349
acarbose,Lactic acidosis,7,O,-0.03832864761352539,0.7353078126907349
acarbose,Lactic acidosis,8,C,-0.009966492652893066,0.7353078126907349
acarbose,Lactic acidosis,9,C,-0.009539127349853516,0.7353078126907349
acarbose,Lactic acidosis,10,O,-0.04793131351470947,0.7353078126907349
acarbose,Lactic acidosis,11,C,-0.0029692649841308594,0.7353078126907349
acarbose,Lactic acidosis,12,C,-0.004394412040710449,0.7353078126907349
acarbose,Lactic acidosis,13,C,-0.008435487747192383,0.7353078126907349
acarbose,Lactic acidosis,14,O,-0.03551745414733887,0.7353078126907349
acarbose,Lactic acidosis,15,O,-0.03528308868408203,0.7353078126907349
acarbose,Lactic acidosis,16,O,-0.037355780601501465,0.7353078126907349
acarbose,Lactic acidosis,17,C,-0.009542346000671387,0.7353078126907349
acarbose,Lactic acidosis,18,C,-0.007398009300231934,0.7353078126907349
acarbose,Lactic acidosis,19,C,0.003597080707550049,0.7353078126907349
acarbose,Lactic acidosis,20,O,-0.030209004878997803,0.7353078126907349
acarbose,Lactic acidosis,21,O,-0.05713856220245361,0.7353078126907349
acarbose,Lactic acidosis,22,C,-0.007838010787963867,0.7353078126907349
acarbose,Lactic acidosis,23,C,-0.004927337169647217,0.7353078126907349
acarbose,Lactic acidosis,24,C,-0.002404510974884033,0.7353078126907349
acarbose,Lactic acidosis,25,O,-0.004301488399505615,0.7353078126907349
acarbose,Lactic acidosis,26,O,-0.03038930892944336,0.7353078126907349
acarbose,Lactic acidosis,27,O,-0.03482705354690552,0.7353078126907349
acarbose,Lactic acidosis,28,C,0.0008448362350463867,0.7353078126907349
acarbose,Lactic acidosis,29,O,-0.03190600872039795,0.7353078126907349
acarbose,Lactic acidosis,30,O,-0.03566312789916992,0.7353078126907349
acarbose,Lactic acidosis,31,O,-0.031494140625,0.7353078126907349
acarbose,Lactic acidosis,32,N,-0.0334315299987793,0.7353078126907349
acarbose,Lactic acidosis,33,C,-0.005809426307678223,0.7353078126907349
acarbose,Lactic acidosis,34,C,-0.025185883045196533,0.7353078126907349
acarbose,Lactic acidosis,35,C,-0.015582680702209473,0.7353078126907349
acarbose,Lactic acidosis,36,C,-0.00878077745437622,0.7353078126907349
acarbose,Lactic acidosis,37,C,-0.00590592622756958,0.7353078126907349
acarbose,Lactic acidosis,38,C,-0.006113886833190918,0.7353078126907349
acarbose,Lactic acidosis,39,O,-0.03557026386260986,0.7353078126907349
acarbose,Lactic acidosis,40,O,-0.03466391563415527,0.7353078126907349
acarbose,Lactic acidosis,41,O,-0.017377853393554688,0.7353078126907349
acarbose,Lactic acidosis,42,C,-0.0009377598762512207,0.7353078126907349
acarbose,Lactic acidosis,43,O,-0.005473911762237549,0.7353078126907349
acarbose,Nausea,0,C,-0.03176194429397583,0.8353977203369141
acarbose,Nausea,1,C,-0.015788495540618896,0.8353977203369141
acarbose,Nausea,2,C,-0.01040107011795044,0.8353977203369141
acarbose,Nausea,3,C,-0.008937478065490723,0.8353977203369141
acarbose,Nausea,4,C,-0.0020825862884521484,0.8353977203369141
acarbose,Nausea,5,C,-0.0015343427658081055,0.8353977203369141
acarbose,Nausea,6,O,-0.003508150577545166,0.8353977203369141
acarbose,Nausea,7,O,-0.0020963549613952637,0.8353977203369141
acarbose,Nausea,8,C,-0.004614830017089844,0.8353977203369141
acarbose,Nausea,9,C,-0.00440138578414917,0.8353977203369141
acarbose,Nausea,10,O,-0.008928894996643066,0.8353977203369141
acarbose,Nausea,11,C,-0.0013675689697265625,0.8353977203369141
acarbose,Nausea,12,C,-0.0012881755828857422,0.8353977203369141
acarbose,Nausea,13,C,-0.003476858139038086,0.8353977203369141
acarbose,Nausea,14,O,-0.0007207989692687988,0.8353977203369141
acarbose,Nausea,15,O,-0.0001366734504699707,0.8353977203369141
acarbose,Nausea,16,O,0.00032198429107666016,0.8353977203369141
acarbose,Nausea,17,C,-0.003632068634033203,0.8353977203369141
acarbose,Nausea,18,C,-0.0025117993354797363,0.8353977203369141
acarbose,Nausea,19,C,0.003339111804962158,0.8353977203369141
acarbose,Nausea,20,O,-0.0038415193557739258,0.8353977203369141
acarbose,Nausea,21,O,-0.015964627265930176,0.8353977203369141
acarbose,Nausea,22,C,-0.0029036998748779297,0.8353977203369141
acarbose,Nausea,23,C,-0.0009271502494812012,0.8353977203369141
acarbose,Nausea,24,C,-0.001448512077331543,0.8353977203369141
acarbose,Nausea,25,O,-8.040666580200195e-05,0.8353977203369141
acarbose,Nausea,26,O,-0.003224492073059082,0.8353977203369141
acarbose,Nausea,27,O,0.00033909082412719727,0.8353977203369141
acarbose,Nausea,28,C,0.00106889009475708,0.8353977203369141
acarbose,Nausea,29,O,-0.0064719319343566895,0.8353977203369141
acarbose,Nausea,30,O,-0.0013613104820251465,0.8353977203369141
acarbose,Nausea,31,O,-0.0029764771461486816,0.8353977203369141
acarbose,Nausea,32,N,-0.005894780158996582,0.8353977203369141
acarbose,Nausea,33,C,-0.0022986531257629395,0.8353977203369141
acarbose,Nausea,34,C,-0.0054177045822143555,0.8353977203369141
acarbose,Nausea,35,C,-0.004507780075073242,0.8353977203369141
acarbose,Nausea,36,C,-0.0016856789588928223,0.8353977203369141
acarbose,Nausea,37,C,-0.002146601676940918,0.8353977203369141
acarbose,Nausea,38,C,-0.002330780029296875,0.8353977203369141
acarbose,Nausea,39,O,-0.0015888810157775879,0.8353977203369141
acarbose,Nausea,40,O,-0.0013619661331176758,0.8353977203369141
acarbose,Nausea,41,O,-0.0015593171119689941,0.8353977203369141
acarbose,Nausea,42,C,0.0003864765167236328,0.8353977203369141
acarbose,Nausea,43,O,0.0017220377922058105,0.8353977203369141
acarbose,Urinary tract infection,0,C,-0.03312060236930847,0.33755093812942505
acarbose,Urinary tract infection,1,C,-0.0016488730907440186,0.33755093812942505
acarbose,Urinary tract infection,2,C,0.0027664005756378174,0.33755093812942505
acarbose,Urinary tract infection,3,C,0.006113409996032715,0.33755093812942505
acarbose,Urinary tract infection,4,C,0.002408742904663086,0.33755093812942505
acarbose,Urinary tract infection,5,C,0.0016005635261535645,0.33755093812942505
acarbose,Urinary tract infection,6,O,-0.014384865760803223,0.33755093812942505
acarbose,Urinary tract infection,7,O,-0.03623417019844055,0.33755093812942505
acarbose,Urinary tract infection,8,C,-0.00013044476509094238,0.33755093812942505
acarbose,Urinary tract infection,9,C,-0.0035650432109832764,0.33755093812942505
acarbose,Urinary tract infection,10,O,-0.01801922917366028,0.33755093812942505
acarbose,Urinary tract infection,11,C,0.0010984241962432861,0.33755093812942505
acarbose,Urinary tract infection,12,C,0.000685572624206543,0.33755093812942505
acarbose,Urinary tract infection,13,C,0.0021812021732330322,0.33755093812942505
acarbose,Urinary tract infection,14,O,-0.03650137782096863,0.33755093812942505
acarbose,Urinary tract infection,15,O,-0.03515148162841797,0.33755093812942505
acarbose,Urinary tract infection,16,O,-0.03636440634727478,0.33755093812942505
acarbose,Urinary tract infection,17,C,-0.00028967857360839844,0.33755093812942505
acarbose,Urinary tract infection,18,C,-0.0035829544067382812,0.33755093812942505
acarbose,Urinary tract infection,19,C,-0.009537667036056519,0.33755093812942505
acarbose,Urinary tract infection,20,O,0.001375347375869751,0.33755093812942505
acarbose,Urinary tract infection,21,O,-0.00814586877822876,0.33755093812942505
acarbose,Urinary tract infection,22,C,0.0006483793258666992,0.33755093812942505
acarbose,Urinary tract infection,23,C,-0.02965003252029419,0.33755093812942505
acarbose,Urinary tract infection,24,C,-0.030264317989349365,0.33755093812942505
acarbose,Urinary tract infection,25,O,-0.04064744710922241,0.33755093812942505
acarbose,Urinary tract infection,26,O,-0.015574216842651367,0.33755093812942505
acarbose,Urinary tract infection,27,O,-0.03624889254570007,0.33755093812942505
acarbose,Urinary tract infection,28,C,-0.01073572039604187,0.33755093812942505
acarbose,Urinary tract infection,29,O,0.0027208030223846436,0.33755093812942505
acarbose,Urinary tract infection,30,O,-0.03837937116622925,0.33755093812942505
acarbose,Urinary tract infection,31,O,-0.035230815410614014,0.33755093812942505
acarbose,Urinary tract infection,32,N,-0.0354633629322052,0.33755093812942505
acarbose,Urinary tract infection,33,C,0.0017627179622650146,0.33755093812942505
acarbose,Urinary tract infection,34,C,-0.009517431259155273,0.33755093812942505
acarbose,Urinary tract infection,35,C,0.0027787983417510986,0.33755093812942505
acarbose,Urinary tract infection,36,C,0.0020246505737304688,0.33755093812942505
acarbose,Urinary tract infection,37,C,0.004118114709854126,0.33755093812942505
acarbose,Urinary tract infection,38,C,0.0022848844528198242,0.33755093812942505
acarbose,Urinary tract infection,39,O,-0.03679931163787842,0.33755093812942505
acarbose,Urinary tract infection,40,O,-0.03705903887748718,0.33755093812942505
acarbose,Urinary tract infection,41,O,-0.021877169609069824,0.33755093812942505
acarbose,Urinary tract infection,42,C,-0.013302654027938843,0.33755093812942505
acarbose,Urinary tract infection,43,O,0.0022062063217163086,0.33755093812942505
canagliflozin,Lactic acidosis,0,C,-0.014460384845733643,0.8642129898071289
canagliflozin,Lactic acidosis,1,C,-0.00020742416381835938,0.8642129898071289
canagliflozin,Lactic acidosis,2,C,-0.005577027797698975,0.8642129898071289
canagliflozin,Lactic acidosis,3,C,0.003914475440979004,0.8642129898071289
canagliflozin,Lactic acidosis,4,C,0.0010777115821838379,0.8642129898071289
canagliflozin,Lactic acidosis,5,C,0.000736534595489502,0.8642129898071289
canagliflozin,Lactic acidosis,6,C,0.001784980297088623,0.8642129898071289
canagliflozin,Lactic acidosis,7,C,0.0006085634231567383,0.8642129898071289
canagliflozin,Lactic acidosis,8,C,-0.00118255615234375,0.8642129898071289
canagliflozin,Lactic acidosis,9,C,-0.0023213624954223633,0.8642129898071289
canagliflozin,Lactic acidosis,10,C,-0.0033369064331054688,0.8642129898071289
canagliflozin,Lactic acidosis,11,C,-0.003550112247467041,0.8642129898071289
canagliflozin,Lactic acidosis,12,O,0.005835890769958496,0.8642129898071289
canagliflozin,Lactic acidosis,13,C,-0.0032802820205688477,0.8642129898071289
canagliflozin,Lactic acidosis,14,O,0.0042008161544799805,0.8642129898071289
canagliflozin,Lactic acidosis,15,O,0.002251565456390381,0.8642129898071289
canagliflozin,Lactic acidosis,16,O,0.0028663277626037598,0.8642129898071289
canagliflozin,Lactic acidosis,17,O,0.004258990287780762,0.8642129898071289
canagliflozin,Lactic acidosis,18,C,-0.0035319924354553223,0.8642129898071289
canagliflozin,Lactic acidosis,19,C,-0.004530489444732666,0.8642129898071289
canagliflozin,Lactic acidosis,20,C,0.004387915134429932,0.8642129898071289
canagliflozin,Lactic acidosis,21,C,0.0036079883575439453,0.8642129898071289
canagliflozin,Lactic acidosis,22,C,0.004473745822906494,0.8642129898071289
canagliflozin,Lactic acidosis,23,S,-0.005513012409210205,0.8642129898071289
canagliflozin,Lactic acidosis,24,C,0.005568146705627441,0.8642129898071289
canagliflozin,Lactic acidosis,25,C,0.001409769058227539,0.8642129898071289
canagliflozin,Lactic acidosis,26,C,6.818771362304688e-05,0.8642129898071289
